filing_date,trade_date,insider_name,title,trade_type,price,quantity,ownership,ownership_change,value
2004-08-30 19:51:41,2004-08-26,Serlet Bertrand,SVP,S - Sale+OE,34.08,-20000.0,3708.0,-84.0,-681618.0
2004-07-21 18:20:44,2004-07-19,Tevanian Avadis,SVP,S - Sale+OE,32.07,-350000.0,1252.0,-100.0,-11223640.0
2004-07-21 18:18:43,2004-07-19,Rubinstein Jonathan,SVP,S - Sale+OE,31.89,-300000.0,9906.0,-97.0,-9567300.0
2004-06-08 18:34:45,2004-06-07,Anderson Fred D,EVP,S - Sale+OE,29.9,-15500.0,2672.0,-85.0,-463489.0
2004-06-08 18:34:00,2004-06-07,Anderson Fred D,EVP,S - Sale+OE,29.75,-45100.0,2672.0,-94.0,-1341502.0
2004-06-08 18:33:22,2004-06-07,Anderson Fred D,EVP,S - Sale+OE,29.43,-44000.0,2672.0,-94.0,-1295120.0
2004-06-08 18:32:37,2004-06-04,Anderson Fred D,EVP,S - Sale+OE,29.16,-44000.0,2672.0,-94.0,-1282860.0
2004-06-08 18:31:48,2004-06-04,Anderson Fred D,EVP,S - Sale+OE,29.05,-257000.0,2672.0,-99.0,-7465360.0
2004-06-04 18:31:36,2004-06-02,Anderson Fred D,EVP,S - Sale+OE,29.04,-94400.0,2672.0,-97.0,-2741365.0
2004-05-27 19:54:11,2004-05-25,Anderson Fred D,EVP,S - Sale+OE,28.09,-122000.0,2672.0,-98.0,-3427200.0
2004-05-27 19:53:17,2004-05-25,Anderson Fred D,EVP,S - Sale+OE,28.42,-78000.0,2672.0,-97.0,-2216561.0
2004-05-03 19:21:50,2004-04-29,Rubinstein Jonathan,SVP,S - Sale+OE,26.73,-175000.0,9906.0,-95.0,-4677100.0
2004-04-27 19:16:08,2004-04-23,Cook Timothy D,EVP,S - Sale+OE,27.71,-72000.0,4722.0,-94.0,-1995303.0
2004-04-27 19:15:29,2004-04-23,Cook Timothy D,EVP,S - Sale+OE,27.57,-78000.0,4722.0,-94.0,-2150840.0
2004-04-27 19:14:51,2004-04-23,Anderson Fred D,EVP,S - Sale+OE,27.83,-46000.0,2672.0,-95.0,-1280260.0
2004-04-27 19:14:15,2004-04-23,Anderson Fred D,EVP,S - Sale+OE,27.61,-54000.0,2672.0,-95.0,-1490860.0
2004-04-27 19:13:34,2004-04-23,Anderson Fred D,EVP,S - Sale+OE,27.45,-62000.0,2672.0,-96.0,-1702100.0
2004-04-27 19:12:48,2004-04-23,Anderson Fred D,EVP,S - Sale+OE,27.25,-38000.0,2672.0,-93.0,-1035560.0
2004-04-23 19:31:06,2004-04-22,Anderson Fred D,EVP,S - Sale+OE,27.87,-18000.0,2672.0,-87.0,-501660.0
2004-04-23 19:30:29,2004-04-22,Anderson Fred D,EVP,S - Sale+OE,27.91,-48000.0,2672.0,-95.0,-1339520.0
2004-04-23 19:29:59,2004-04-22,Anderson Fred D,EVP,S - Sale+OE,27.93,-48000.0,2672.0,-95.0,-1340620.0
2004-04-23 19:29:06,2004-04-22,Anderson Fred D,EVP,S - Sale+OE,27.68,-34000.0,2672.0,-93.0,-941280.0
2004-04-23 19:28:28,2004-04-22,Anderson Fred D,EVP,S - Sale+OE,27.32,-52000.0,2672.0,-95.0,-1420860.0
2004-04-23 19:27:40,2004-04-21,Anderson Fred D,EVP,S - Sale+OE,27.85,-77400.0,2672.0,-97.0,-2155586.0
2004-04-23 19:27:07,2004-04-21,Anderson Fred D,EVP,S - Sale+OE,27.7,-76600.0,2672.0,-97.0,-2122041.0
2004-04-23 19:26:22,2004-04-21,Anderson Fred D,EVP,S - Sale+OE,27.52,-46000.0,2672.0,-95.0,-1266100.0
2004-04-23 19:23:59,2004-04-22,Cook Timothy D,EVP,S - Sale+OE,28.01,-80000.0,4722.0,-94.0,-2240440.0
2004-04-23 19:23:22,2004-04-22,Cook Timothy D,EVP,S - Sale+OE,27.84,-158000.0,4722.0,-97.0,-4399440.0
