filing_date,trade_date,ticker,company_name,industry,insider_name,price,quantity,ownership,ownership_change,value
2024-06-14 16:02:29,2024-06-13,HBIO,Harvard Bioscience Inc,Green James W,CEO,$2.91,10000.0,3111091.0,0.0,29100.0
2024-06-14 12:51:20,2024-06-14,RZLT,Rezolute Inc.,Roberts Brian Kenneth,Chief Medical Officer,$3.91,7600.0,68728.0,12.0,29743.0
2024-06-14 12:06:37,2024-06-14,RZLT,Rezolute Inc.,Evans Daron,CFO,$4.04,40000.0,203351.0,24.0,161568.0
2024-06-14 08:44:43,2024-06-12,NRDY,Nerdy Inc.,Cohn Charles K.,"CEO, 10%",$1.80,500000.0,22058261.0,2.0,900000.0
2024-06-14 08:44:37,2024-06-13,FTCI,Ftc Solar Inc.,Chatila Ahmad R,Dir,$0.44,114726.0,1082184.0,12.0,50479.0
2024-06-13 19:12:36,2024-06-12,SPWH,Sportsman'S Warehouse Holdings Inc.,Sansom Steven W.,Dir,$2.91,10000.0,148439.0,7.0,29135.0
2024-06-13 18:55:56,2024-06-11,DTC,Solo Brands Inc.,Metz Christopher T,"Pres, CEO",$1.96,150000.0,250000.0,150.0,294618.0
2024-06-13 18:32:05,2024-06-12,ZOM,Zomedica Corp.,Klass Russell Kevin,VP of Sales,$0.16,299993.0,2000050.0,18.0,46529.0
2024-06-13 18:14:45,2024-06-11,FF,Futurefuel Corp.,Kruszewski Ronald J,Dir,$4.58,100000.0,100000.0,New,457913.0
2024-06-13 18:04:27,2024-06-11,ACRS,Aclaris Therapeutics Inc.,Leonard Braden Michael,10%,$1.11,1611200.0,11007134.0,17.0,1781897.0
2024-06-13 17:19:02,2024-06-13,CATX,Perspective Therapeutics Inc.,Spoor Johan M.,CEO,$1.17,100000.0,207572.0,93.0,117430.0
2024-06-13 17:05:18,2024-06-11,PYYX,Pyxus International Inc.,"Owl Creek Asset Management, L.P.",10%,$2.80,123544.0,2728831.0,5.0,345923.0
2024-06-13 16:33:29,2024-06-11,NUVB,Nuvation Bio Inc.,Blickenstaff Kim D,Dir,$2.90,172189.0,172189.0,New,500089.0
2024-06-13 16:30:17,2024-06-12,FGEN,Fibrogen Inc,Adib Deyaa,Chief Medical Officer,$1.17,22123.0,82123.0,37.0,25884.0
2024-06-13 16:15:24,2024-06-11,AEI,Alset Inc.,Chan Heng Fai Ambrose,"CEO, 10%",$1.08,99086.0,5558718.0,2.0,107113.0
2024-06-13 15:51:05,2024-06-13,KPRX,Kiora Pharmaceuticals Inc,Parsons Erin,Dir,$4.88,5260.0,5260.0,New,25669.0
2024-06-13 14:23:16,2024-06-11,NRDY,Nerdy Inc.,Cohn Charles K.,"CEO, 10%",$1.68,569976.0,21558261.0,3.0,957560.0
2024-06-13 12:27:07,2024-06-11,PYYX,Pyxus International Inc.,Glendon Capital Management LP,"Dir, 10%",$2.80,376456.0,8315159.0,5.0,1054077.0
2024-06-13 08:05:03,2024-06-11,PRSO,Peraso Inc.,McWalter Ian,Dir,$1.27,100000.0,104497.0,>999,127000.0
2024-06-12 19:23:55,2024-06-10,KRON,Kronos Bio Inc.,Bischofberger Norbert W,"Pres, CEO",$1.04,3005122.0,11241620.0,36.0,3119081.0
2024-06-12 19:02:04,2024-06-10,NRDY,Nerdy Inc.,Cohn Charles K.,"CEO, 10%",$1.59,353000.0,20988285.0,2.0,561270.0
2024-06-12 17:57:54,2024-06-10,NANX,Nanophase Technologies Corp,Whitmore R Janet,Dir,$1.44,18369.0,1908641.0,1.0,26487.0
2024-06-12 16:30:07,2024-06-11,BMEA,Biomea Fusion Inc.,Valle Franco,CFO,$4.43,12509.0,42500.0,42.0,55361.0
2024-06-12 16:22:13,2024-06-10,TLS,Telos Corp,Schaufeld Fredrick,Dir,$4.01,283566.0,2219072.0,15.0,1135712.0
2024-06-12 16:15:26,2024-06-10,ZOM,Zomedica Corp.,Klass Russell Kevin,VP of Sales,$0.15,700007.0,1700057.0,70.0,105041.0
2024-06-12 09:00:03,2024-06-10,ONDS,Ondas Holdings Inc.,Brock Eric A,"COB, CEO, Pres",$0.73,45049.0,1936255.0,2.0,32751.0
2024-06-11 21:37:53,2024-06-07,FRTX,Fresh Tracks Therapeutics Inc.,"Exploration Capital, LLC",10%,$0.94,405500.0,1786412.0,29.0,381170.0
2024-06-11 21:19:01,2024-06-07,UHG,United Homes Group Inc.,Nieri Pennington W.,"Co-EVP - Construction, 10%",$5.00,1403019.0,1486351.0,>999,7015095.0
2024-06-11 21:05:08,2024-06-07,UHG,United Homes Group Inc.,Nieri Patrick Michael,10%,$5.00,278149.0,361481.0,334.0,1390745.0
2024-06-11 20:41:54,2024-06-07,UHG,United Homes Group Inc.,Lincks Maigan Nieri,10%,$5.00,278150.0,361482.0,334.0,1390750.0
